gene_symbol,entrez_id
ABL1,P00519
ADRM1,Q16186
AKT1,P31749
ALAD,P13716
ALDH3B1,P43353
ANGPTL7,O43827
ATE1,O95260
ATM,Q13315
ATOX1,O00244
BANF1,O75531
BLOC1S6,Q9UL45
C19orf12,Q9NSK7
CA3,P07451
CAT,P04040
CHEK2,O96017
CHRNA4,P43681
CYB5B,O43169
CYGB,Q8WWM9
DGKK,Q5KSL6
DUOX1,Q9NRD9
DUOX2,Q9NRD8
EPX,P11678
ERCC1,P07992
ERCC2,P18074
ERCC3,P19447
ERCC6,Q03468
ERCC8,Q13216
ETFDH,Q16134
FBN1,P35555
FGF8,P55075
FOXO4,P98177
GCLC,P48506
GCLM,P48507
GPX1,P07203
GPX2,P18283
GPX3,P22352
GPX4,P36969
GPX5,O75715
GPX6,P59796
GPX7,Q96SL4
GPX8,Q8TED1
GSS,P48637
HAO1,Q9UJM8
HMOX1,P09601
HMOX2,P30519
IPCEF1,Q8WWN9
JAK2,O60674
KCMF1,Q9P0J7
KRT1,P04264
LCN2,P80188
LIAS,O43766
LPO,P22079
LRRK2,Q5S007
MAP2K1,Q02750
MAPK8,P45983
MBL2,P11226
MEAK7,Q6P9B6
MICB,Q29980
MMP14,P50281
MMP2,P08253
MPO,P05164
MSRA,Q9UJ68
MSRB2,Q9Y3D2
MSRB3,Q8IXL7
MT-CO1,P00395
MT-ND3,P03897
MT3,P25713
NAPRT,Q6XQN6
NCOA7,Q8NI08
NFE2L2,Q16236
NQO1,P15559
NUDT1,P36639
NXNL1,Q96CM4
OGG1,O15527
OXR1,Q8N573
OXSR1,O95747
PARK7,Q99497
PCNA,P12004
PDLIM1,O00151
PINK1,Q9BXM7
PNKP,Q96T60
PRDX1,Q06830
PRDX2,P32119
PRDX3,P30048
PRDX4,Q13162
PRDX5,P30044
PRDX6,P30041
PRKN,O60260
PRNP,P04156
PSIP1,O75475
PSMA1,P25786
PSMA2,P25787
PSMA3,P25788
PSMA4,P25789
PSMA5,P28066
PSMA6,P60900
PSMA7,O14818
PSMA8,Q8TAA3
PSMB1,P20618
PSMB2,P49721
PSMB3,P49720
PSMB4,P28070
PSMB5,P28074
PSMB6,P28072
PSMB7,Q99436
PSMC1,P62191
PSMC2,P35998
PSMC3,P17980
PSMC4,P43686
PSMC5,P62195
PSMC6,P62333
PSMD1,Q99460
PSMD11,O00231
PSMD12,O00232
PSMD13,Q9UNM6
PSMD14,O00487
PSMD2,Q13200
PSMD3,O43242
PSMD4,P55036
PSMD6,Q15008
PSMD7,P51665
PSMD8,P48556
PSME1,Q06323
PSME2,Q9UL46
PSME3,P61289
PTGS1,P23219
PTGS2,P35354
PXDN,Q92626
PXDNL,A1KZ92
RBPMS,Q93062
RGS14,O43566
RIPK1,Q13546
SCARA3,Q6AZY7
SELENOK,Q9Y6D0
SELENOP,P49908
SIRT1,Q96EB6
SLC23A2,Q9UGH3
SOD1,P00441
SOD2,P04179
SRXN1,Q9BYN0
STK25,O00506
TAT,P17735
THG1L,Q9NWX6
TLDC2,A0PJX2
TOR1A,O14656
TP53,P04637
TPO,P07202
TRIM25,Q14258
TRIM32,Q13049
TXNIP,Q9H3M7
UBR4,Q5T4S7
UCN,P55089
USP25,Q9UHP3
VNN1,O95497
