gene_symbol,uniprot_id
Aaas,P58742
Abcc1,O35379
Abcg2,Q7TMS5
Abl1,P00520
Aifm1,Q9Z0X1
Akt1,P31750
Alad,P10518
Aldh1a1,P24549
Aldh3b1,Q80VQ0
Als2,Q920R0
Apoe,P08226
App,P12023
Ate1,Q9Z2A5
Atm,Q62388
Atox1,O08997
Atrn,Q9WU60
Banf1,O54962
Bcl2,P10417
Bloc1s6,Q9R0C0
Blvra,Q9CY64
Btg1,P62325
Ca3,P16015
Camk2g,Q923T9
Cat,P24270
Cd2ap,Q9JLQ0
Chek2,Q9Z265
Chrna4,O70174
Cldn17,Q8BXA6
Comt,O88587
Coq7,P97478
Cuedc2,Q9CXX9
Cul3,Q9JLV5
Cygb,Q9CX80
Dcaf11,Q91VU6
Dgkk,F6UUZ3
Dram1,Q9DC58
Duox1,A2AQ92
Duox2,A0A494BAW1
Eif2ak3,Q9Z2B5
Epas1,P97481
Epx,P49290
Ercc1,P07903
Ercc2,O08811
Ercc3,P49135
Ercc6,F8VPZ5
Ercc8,Q8CFD5
Ero1a,Q8R180
Esyt2,Q3TZZ7
Esyt3,Q5DTI8
Etfdh,Q921G7
Fabp1,P12710
Fbn1,Q61554
Fgf8,P37237
Fndc4,Q3TR08
Foxo4,Q9WVH3
G6pdx,Q00612
Gab1,Q9QYY0
Gclc,P97494
Gclm,O09172
Gpx1,P11352
Gpx2,Q9JHC0
Gpx3,P46412
Gpx4,O70325
Gpx5,P21765
Gpx6,Q91WR8
Gpx7,Q99LJ6
Gpx8,Q9D7B7
Grk2,Q99MK8
Hao1,Q9WU19
Hmox1,P14901
Hmox2,O70252
Hnf1a,P22361
Ide,Q9JHR7
Idh1,O88844
Itch,Q8C863
Jak2,Q62120
Kcmf1,Q80UY2
Keap1,Q9Z2X8
Lcn2,P11672
Lias,Q99M04
Lpo,Q5SW46
Lrrk2,Q5S006
Map2k1,P31938
Mapk8,Q91Y86
Meak7,Q8K0P3
Mmp14,P53690
Mmp2,P33434
Mmp9,P41245
Mpo,P11247
Msrb2,Q78J03
Msrb3,Q8BU85
Mt3,P28184
Mtco1,P00397
Mtf1,Q07243
Mutyh,Q99P21
Naprt,Q8CC86
Ncoa7,Q6DFV7
Neil1,Q8K4Q6
Nfe2l2,Q60795
Nfkb1,P25799
Nqo1,Q64669
Nxnl1,Q8VC33
Ogg1,O08760
Oxr1,Q4KMM3
Oxsr1,Q6P9R2
Park7,Q99LX0
Pcna,P17918
Pink1,Q99MQ3
Pnkp,Q9JLV6
Ppif,Q99KR7
Ppp1r15b,Q8BFW3
Prdx1,P35700
Prdx2,Q61171
Prdx3,P20108
Prdx4,O08807
Prdx5,P99029
Prdx6,O08709
Prdx6b,G3XA63
Prkcd,P28867
Prkn,Q9WVS6
Prnp,P04925
Psen1,P49769
Psip1,Q99JF8
Psma1,Q9R1P4
Psma2,P49722
Psma3,O70435
Psma4,Q9R1P0
Psma5,Q9Z2U1
Psma6,Q9QUM9
Psma7,Q9Z2U0
Psmb1,O09061
Psmb2,Q9R1P3
Psmb3,Q9R1P1
Psmb4,P99026
Psmb5,O55234
Psmb6,Q60692
Psmb7,P70195
Ptgs1,P22437
Ptgs2,Q05769
Pxdn,Q3UQ28
Q8WUR0,Q8WUR0
Rbpms,Q9WVB0
Rbx1,P62878
Rcan1,Q9JHG6
Rcan2,Q9JHG2
Rgs14,P97492
Ripk1,Q60855
Rrm2b,Q6PEE3
Selenok,Q9JLJ1
Sirt1,Q923E4
Slc23a2,Q9EPR4
Sod1,P08228
Sod2,P09671
Srxn1,Q9D975
Stc2,O88452
Tat,Q8QZR1
Thg1l,Q9CY52
Tldc2,A2ACG1
Tlr4,Q9QUK6
Tor1a,Q9ER39
Tp53,P02340
Tpo,P35419
Trim25,Q61510
Trim32,Q8CH72
Txnip,Q8BG60
Txnrd1,Q9JMH6
Ubr4,A2AN08
Ubr5,Q80TP3
Ucn,P81615
Upk3bl1,Q9D701
Usp25,P57080
Wrn,O09053
Xpa,Q64267
mt-Nd3,P03899
