"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006979","response to oxidative stress","8/8","410/16335",0.0195121951219512,39.8414634146341,17.6313621058171,1.47306068084686e-13,6.39308335487538e-11,3.07016857692293e-11,"Hmox1/Srxn1/Itch/Rcan1/Btg1/Gclc/Txnrd1/Xpa",8
"GO:0045454","cell redox homeostasis","2/8","29/16335",0.0689655172413793,140.818965517241,16.6812825005845,8.46505391882598e-05,0.0150368297526812,0.00722117945920659,"Gclc/Txnrd1",2
"GO:0009636","response to toxic substance","3/8","221/16335",0.0135746606334842,27.7177601809955,8.85182006484174,0.000130121415305036,0.0150368297526812,0.00722117945920659,"Srxn1/Txnrd1/Xpa",3
"GO:0046685","response to arsenic-containing substance","2/8","37/16335",0.0540540540540541,110.371621621622,14.7426796737701,0.00013858829265144,0.0150368297526812,0.00722117945920659,"Hmox1/Gclc",2
"GO:0046686","response to cadmium ion","2/8","48/16335",0.0416666666666667,85.078125,12.9128219073059,0.000234094170618005,0.0203193740096428,0.00975803069102421,"Hmox1/Gclc",2
"GO:0098869","cellular oxidant detoxification","2/8","73/16335",0.0273972602739726,55.9417808219178,10.4139444442527,0.000542057292954569,0.0392088108570472,0.0188293585973693,"Srxn1/Txnrd1",2
"GO:0043627","response to estrogen","2/8","80/16335",0.025,51.046875,9.93268228536355,0.000650671024206482,0.0403416035008019,0.0193733628259975,"Hmox1/Rcan1",2
"GO:0009408","response to heat","2/8","90/16335",0.0222222222222222,45.375,9.34410770478978,0.000822643831668693,0.0440188847504977,0.0211393140446242,"Hmox1/Gclc",2
"GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","2/8","99/16335",0.0202020202020202,41.25,8.89164332757243,0.000994218661007088,0.0440188847504977,0.0211393140446242,"Hmox1/Gclc",2
"GO:1990748","cellular detoxification","2/8","100/16335",0.02,40.8375,8.8451255697584,0.00101426001729257,0.0440188847504977,0.0211393140446242,"Srxn1/Txnrd1",2
"GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","2/8","106/16335",0.0188679245283019,38.5259433962264,8.5797917042388,0.00113859708627922,0.0449228304950164,0.0215734184768694,"Hmox1/Xpa",2
"GO:0097237","cellular response to toxic substance","2/8","115/16335",0.0173913043478261,35.5108695652174,8.22086412600198,0.0013381927648574,0.0478040954380885,0.0229570965237486,"Srxn1/Txnrd1",2
"GO:0098754","detoxification","2/8","119/16335",0.0168067226890756,34.3172268907563,8.07436786839658,0.00143191990943583,0.0478040954380885,0.0229570965237486,"Srxn1/Txnrd1",2
"GO:0009266","response to temperature stimulus","2/8","166/16335",0.0120481927710843,24.6009036144578,6.76517705906535,0.00276103389550224,0.0573264561112024,0.0275300468348728,"Hmox1/Gclc",2
