"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","28/225","292/7258",0.0958904109589041,3.09321156773212,6.52998718037809,7.75484968370245e-08,1.90767587968745e-05,1.56814718025266e-05,"Dusp6/Nr4a1/Cd14/Jun/Ddit3/Srf/Dusp8/Map3k8/Ngf/Areg/Fos/Myc/Hspa1b/Dusp4/Pak2/Hspa8/Cacna2d1/Map3k14/Dusp5/Dusp16/Fgf1/Dusp1/Gadd45a/Gadd45b/Hspa1a/Gadd45g/Nlk/Trp53",28
"Human Diseases","Cancer: overview","mmu05202","Transcriptional misregulation in cancer","20/225","164/7258",0.121951219512195,3.93387533875339,6.79700360778354,1.34818083370138e-07,1.90767587968745e-05,1.56814718025266e-05,"Dusp6/Mycn/Cd14/Nfkbiz/Ddit3/Il1r2/Rel/Cdkn1a/Myc/Bak1/Mdm2/H3f3b/Nr4a3/Jmjd1c/Meis1/Gadd45a/Il6/Gadd45b/Gadd45g/Trp53",20
"Environmental Information Processing","Signal transduction","mmu04068","FoxO signaling pathway","15/225","129/7258",0.116279069767442,3.75090439276486,5.63839576893776,9.54298372974444e-06,0.000900221465172558,0.000739999790973165,"Sgk1/Cdkn1a/Mdm2/Plk3/Tnfsf10/Klf2/Cdkn2b/Gadd45a/Foxo3/Il6/Il10/Gadd45b/Gadd45g/Nlk/Stat3",15
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","21/225","244/7258",0.0860655737704918,2.77628415300546,5.04805392543952,1.97298942492208e-05,0.00139589001813237,0.00114744911291521,"Il16/Tnfrsf12a/Osmr/Cxcl10/Gdf15/Ltb/Cxcl1/Il1r2/Ngf/Cxcl11/Ccl6/Ccl2/Inhbb/Rell1/Clcf1/Ackr4/Tnfsf10/Csf2rb2/Cxcl2/Il6/Il10",21
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","12/225","94/7258",0.127659574468085,4.11801418439716,5.44206514980151,2.96739216366285e-05,0.00164971741886533,0.00135610024016826,"Jun/Fosl1/Cxcl10/Cxcl1/S100a8/Ccl2/Fosb/Fos/Tnfaip3/S100a9/Cxcl2/Il6",12
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","14/225","127/7258",0.110236220472441,3.55597550306212,5.19736049801084,3.49763410360141e-05,0.00164971741886533,0.00135610024016826,"Actg1/Jun/Ddit3/Ngf/Fos/Bak1/Map3k14/Tnfsf10/Itpr2/Csf2rb2/Gadd45a/Gadd45b/Gadd45g/Trp53",14
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","13/225","117/7258",0.111111111111111,3.5841975308642,5.04009396643376,6.14854089466935e-05,0.00248576724741632,0.00204334968078485,"Junb/Socs3/Jun/Cxcl10/Map3k8/Cxcl1/Ccl2/Fos/Itch/Tnfaip3/Map3k14/Cxcl2/Il6",13
"Human Diseases","Cancer: specific types","mmu05216","Thyroid cancer","7/225","37/7258",0.189189189189189,6.10282282282282,5.56560256761358,0.000116646829302807,0.00412638158658681,0.00339196700998953,"Cdkn1a/Myc/Bak1/Gadd45a/Gadd45b/Gadd45g/Trp53",7
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","10/225","81/7258",0.123456790123457,3.98244170096022,4.82772486366571,0.000183229404810188,0.00552308471664332,0.00454008451693574,"Cxcl10/Cxcl1/Cxcl11/Ccl6/Ccl2/Ackr4/Tnfsf10/Cxcl2/Il6/Il10",10
"Human Diseases","Cancer: specific types","mmu05219","Bladder cancer","7/225","40/7258",0.175,5.64511111111111,5.26886626593665,0.000195162004121672,0.00552308471664332,0.00454008451693574,"Hbegf/Cdkn1a/Myc/Mdm2/Rassf1/Trp53/Thbs1",7
"Cellular Processes","Cell growth and death","mmu04218","Cellular senescence","14/225","151/7258",0.0927152317880795,2.99078734363503,4.42150070789563,0.000230628664728175,0.00581414751468418,0.00477934387481943,"Serpine1/Cdkn1a/Myc/Mdm2/Sqstm1/Itpr2/Lin52/Cdkn2b/Gadd45a/Foxo3/Il6/Gadd45b/Gadd45g/Trp53",14
