"probe","logFC","AveExpr","t","P.Value","adj.P.Val","gene_symbol"
"1448239_at",3.83364297586124,11.1444644701305,13.4197527587354,6.41326104078514e-15,5.78488972400901e-11,"Hmox1"
"1451680_at",2.12009027774658,9.90623811663774,10.0007801461122,1.61391588078979e-11,2.22451005514643e-08,"Srxn1"
"1425351_at",2.61355364944152,9.17371254314163,9.8636552593906,2.27799511704206e-11,2.99263870290778e-08,"Srxn1"
"1426875_s_at",2.0208165949,10.2674085514757,9.72856966231357,3.20659457481973e-11,3.64503530247904e-08,"Srxn1"
"1424296_at",1.41693477002997,11.9273858721428,9.02415671397254,1.98233636499889e-10,1.39695863121586e-07,"Gclc"
"1455959_s_at",1.35436492946156,11.3994361127211,8.3299832298516,1.27090752070654e-09,6.29881319685557e-07,"Gclc"
"1416600_a_at",1.48757307673658,9.25069414428983,6.90464579609119,6.91057944133307e-08,1.6667061143506e-05,"Rcan1"
"1421529_a_at",1.05885494300285,11.0359232416288,6.88012823493258,7.41611513960951e-08,1.75117386864675e-05,"Txnrd1"
"1431316_at",-1.18458387725982,5.25631479125919,-6.85572937209648,7.95634017163227e-08,1.84019947733737e-05,"Itch"
"1416601_a_at",1.39992610443829,7.87936371562391,6.07783181931904,7.67078868111995e-07,0.000109135722494382,"Rcan1"
"1442018_at",1.88569789483708,6.03802058850238,5.92766426075538,1.19308636534991e-06,0.000150726577489206,"Btg1"
"1456002_at",-1.4442813188142,1.78190809042,-4.55846907438289,6.73188648630468e-05,0.00277020814250755,"Xpa"
"1421425_a_at",-1.28019896132931,4.91311113995498,-4.268734396178,0.000155939758051853,0.00491820911041723,"Rcan2"
